pollster,aapor,roper
ActiVote,Yes,No
American Pulse,No,No
AtlasIntel,No,Yes
Beacon/Shaw,No,No
Big Village,No,No
CES / YouGov,No,No
CNN/SSRS,Yes,Yes
Change Research,Yes,No
Clarity,No,No
Data for Progress,No,No
Echelon Insights,No,No
Emerson,Yes,Yes
Florida Atlantic University/Mainstreet Research,No,No
HarrisX,No,No
HarrisX/Harris Poll,No,No
Ipsos,Yes,Yes
J.L. Partners,No,No
John Zogby Strategies,No,No
Leger,No,No
Marist,Yes,Yes
Marquette Law School,Yes,Yes
McCourtney Institute/YouGov,No,No
Morning Consult,No,No
Noble Predictive Insights,No,No
OnMessage Inc.,No,No
Outward Intelligence,No,No
Paradigm,No,No
Quantus Insights,No,No
Quinnipiac,Yes,No
RABA Research,No,No
RMG Research,No,No
Redfield & Wilton Strategies,Yes,No
Research Co.,No,No
Siena/NYT,Yes,Yes
SoCal Strategies,No,No
Suffolk,No,No
TIPP,No,No
Targoz Market Research,Yes,No
Tufts,No,No
YouGov,No,No
co/efficient,No,No